,Unnamed: 0,Run,avgLength,size_MB,Sample,LibraryLayout,Experiment,SRAStudy,SRA,BioSample,Geographic location,Latitude,Longitude
42,411,SRR12632499,222,235,SRS7360052,PAIRED,SRX9114698,SRP281932,SRS7360052,SAMN16092460,Finland,60.19,24.33
43,412,SRR12632498,191,199,SRS7360054,PAIRED,SRX9114699,SRP281932,SRS7360054,SAMN16092461,Finland,60.51,25.79
44,413,SRR12632497,193,211,SRS7360053,PAIRED,SRX9114700,SRP281932,SRS7360053,SAMN16092462,Finland,63.21,28.06
45,414,SRR12632496,210,233,SRS7360055,PAIRED,SRX9114701,SRP281932,SRS7360055,SAMN16092463,Finland,64.77,27.26
46,415,ERR3799300,200,3845,ERS4221342,PAIRED,ERX3801273,ERP119210,ERS4221342,SAMEA6455793,Italy,,
47,416,ERR3799301,200,3876,ERS4221343,PAIRED,ERX3801274,ERP119210,ERS4221343,SAMEA6455794,Italy,,
48,417,SRR12632503,210,244,SRS7360038,PAIRED,SRX9114694,SRP281932,SRS7360038,SAMN16092468,Estonia,59.95,23.38
49,418,SRR12632502,190,199,SRS7360040,PAIRED,SRX9114695,SRP281932,SRS7360040,SAMN16092469,Estonia,59.39,24.27
50,419,SRR12632501,204,225,SRS7360049,PAIRED,SRX9114696,SRP281932,SRS7360049,SAMN16092458,Finland,61.23,23.56
51,422,ERR3799299,200,3955,ERS4221341,PAIRED,ERX3801272,ERP119210,ERS4221341,SAMEA6455792,Italy,,
52,423,SRR28682306,300,3499,SRS21017605,PAIRED,SRX24250375,SRP501788,SRS21017605,SAMN40462709,Turkey,40.26016244,40.22828419
53,424,SRR28682305,300,3804,SRS21017606,PAIRED,SRX24250376,SRP501788,SRS21017606,SAMN40462710,Turkey,40.26016244,40.22828419
54,425,SRR28682307,300,3674,SRS21017604,PAIRED,SRX24250374,SRP501788,SRS21017604,SAMN40462708,Turkey,40.26016244,40.22828419
